"","type","group","est","slope","pval","std_err_slope","tval","adj_r2","sig","sigpos","signeg"
"p1","YEAR","Meso_pelagic","-9464.2409694534",4.96268751787108,0.238320521069336,"4.13865982902607","1.19910495737431",0.0116954543927059,0,0,0
"p1.1","YEAR","Small_Gadid","707.157965743975",0.130250965129429,0.893238743087874,"0.964042711634648","0.135109122819437",-0.0258230036724794,0,0,0
"p1.2","YEAR","Scombrid","-20759.9560216264",10.7777541313104,9.06099573691839e-05,"2.46179237830341","4.37801100787308",0.317788000392729,1,1,0
"p1.3","YEAR","Northern_shrimp","-1248.12473166842",1.16075083267437,8.18523429357759e-05,"0.258438236853071","4.49140516824642",0.360574374348407,1,1,0
"p1.4","YEAR","Misc_Fish","-14747.6651828823",7.79927811927936,3.83139426880082e-06,"1.44536990752166","5.39604296359856",0.418927581769429,1,1,0
"p1.5","YEAR","Large_Gadid","4926.19508338965",-1.90849284008167,2.76367658275536e-06,"0.347017922522142","-5.49969530740849",0.428543366277264,1,0,1
"p1.6","YEAR","Sandlance","4559.63641373197",-1.86619349554542,0.593353597626855,"3.46536159444923","-0.538527782651793",-0.0185423766414621,0,0,0
"p1.7","YEAR","Squid_BT","-708.374835760771",0.688764840729283,0.522031048235158,"1.06559392351266","0.646367087434971",-0.015559699861339,0,0,0
"p1.8","YEAR","Clupeid","-25364.8747175216",13.0460321181679,2.06857454214009e-07,"2.06398960079783","6.32078384170394",0.499694097407444,1,1,0
"p1.9","YEAR","Shrimp_BT","-40461.490978526",20.6047254279498,0.00120959907734921,"5.8008860548894","3.55199623522733",0.260366256963909,1,1,0
"p1.10","YEAR","","-445.878543310251",0.498327205344468,0.859834758216153,"2.76661965529411","0.18012132762481",-0.0742421245126283,0,0,0
"p1.11","YEAR","shrimp","1121.44314611446",-0.382713315026377,0.871437972527225,"2.31867078926783","-0.165057202944807",-0.0746709072692833,0,0,0
"p1.12","YEAR","lg_zoop","-10047.586892913",5.35030506902712,0.54472687242519,"8.093927842306","0.661027028318898",-0.12689852568311,0,0,0
"p1.13","YEAR","euphausiid","-7444.77911549053",4.12223100877505,0.0430148765860125,"1.83839903788737","2.24229393282983",0.223425140183529,0,0,0
"p1.14","YEAR","sm_zoop","6834.86864753146",-3.00562620903981,0.277401688109471,"2.65120393484765","-1.13368351997883",0.0199673479022695,0,0,0
